ID,Название,Шаги,Ожидаемый результат,Приоритет,Тип
P_01,Выбор страны из списка,"1. Открыть выпадающий список стран
2. Выбрать любую страну",Отображается выбранная страна и корректный телефонный код,средний,положительный
P_02,Поиск страны по названию,"1. Ввести в поле поиска часть названия страны ( к примеру ""Рос"")",В списке отображается Россия с кодом +7,средний,положительный
P_03,Выбор страны по коду,1. Ввести/выбрать код страны,Отображается выбранный код и корректная страна,,положительный
P_04,Выбор страны с пробелами/спецсимволами,1. Найти и выбрать Соединённое Королевство Великобритании,Отображается страна и код +44,средний,положительный
P_05,Проверка дефолтного значения,1. Открыть выпадающий список,Отображается предустановленная страна (по геолокации/приоритету/первая в списке),средний,положительный
P_06,Проверка регистра,"1. Ввести ""ирландия""
2. Ввести ""ИРЛАНДИЯ""",Поиск находит страну независимо от регистра,средний,положительный
P_07,Проверка ввода на отличном от русского языке,1. Вести Poland,Отображается выбранный код и корректная страна на соотвествующем языке,средний,положительный
N_01,Ввод несуществующей страны,"1. Ввести в поле поиска ""Рептилойдленд""","Отображается сообщение ""Не найдено"" или пустой список",средний,негативный
N_02,Проверка ввода на заведомо неверные значения,"1. Ввести в поле 999
2. Ввести в поле ""№?;""","Отображается сообщение ""Не найдено"" или пустой список",средний,негативный
N_03,Попытка SQL-инъекции,"1. Ввести в поле поиска ""' OR 1=1 --""","Страница не ломается, отображается ""Не найдено"" или пустой список",высокий,негативный
N_04,XSS-инъекция,"1. Ввести ""<script>alert(1)</script>""","Скрипт не выполняется, данные экранируются",высокий,негативный
N_05,Очень длинный ввод,1. Ввести строку из 100 символов,"Отображается сообщение ""Не найдено"" или пустой список",средний,негативный
